[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 21.376692
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 70.710976
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 18.977810
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 6.579565
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.134769
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 55.745533
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.058151
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000000
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 78.901779
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 10.704204
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 5.303609
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 61.446125
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 10.896212
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000023
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 73.009445
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.073952
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 15.211592
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.001794
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 16.489590
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 51.311317
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.035439
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 66.913704
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 23.684364
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000022
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 5.837630
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.007686
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 77.475922
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 20.070164
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.570692
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 23.624310
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 1.362689
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.766087
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 5.448617
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 66.447037
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.750523
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 48.756611
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.091998
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 33.702206
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 45.376694
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 72.958992
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 62.795486
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 100.556137
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 27.759302
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000015
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 17.905394
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.005568
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000003
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 58.681362
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 75.178268
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 9.594333
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 56.973610
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 71.110397
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 6.177652
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 9.728922
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 63.553520
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.001875
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000172
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 19.280174
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 12.317838
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.816738
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 49.830070
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 47.043846
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 2.593862
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 16.758675
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 70.717148
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.556397
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.084969
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 4.397777
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.000015
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 12.016123
