[COM16] Ready. Waiting for STM32 requests...
[COM21] Ready. Waiting for STM32 requests...
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.921055
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.731214
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.616066
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.734940
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.407358
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.466297
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.449997
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.807250
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.227750
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.282350
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.440729
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.237924
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 1.476254
[COM21] Training data finished at seq=50, sent CODE_FINISH
[COM16] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.799266
[COM16] Training data finished at seq=50, sent CODE_FINISH
[COM21] Inference data finished at seq=20, sent CODE_FINISH
[COM21] STM32 inference accuracy = 0.450000
[COM16] Inference data finished at seq=20, sent CODE_FINISH
[COM16] STM32 inference accuracy = 0.550000
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.691138
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.835871
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.203636
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.702771
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.613980
[COM21] WinAcc(1): 0.0000 | WinAvgLoss(1): 0.712073
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.551719
[COM21] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.385403
[COM16] WinAcc(1): 1.0000 | WinAvgLoss(1): 0.571564
